ctu_prmry,tr10,tr_ej,holc_pred,score
Brooklyn Park,27053026815,1,NULL,24.3496
Hopkins,27053023300,0,NULL,24.771
Apple Valley,27037060812,0,NULL,23.9182
Burnsville,27037060747,0,NULL,23.435
Minnetrista,27053027700,0,NULL,21.7228
Minneapolis,27053126200,0,0.256,25.9866
New Brighton,27123041104,0,NULL,23.5406
Apple Valley,27037060811,0,NULL,23.3632
Woodbury,27163071013,0,NULL,25.5374
Ham Lake,27003050216,0,NULL,21.9364
St. Louis Park,27053022200,0,NULL,23.5326
Maplewood,27123042501,0,NULL,24.4124
Northfield,27037061502,0,NULL,20.2094
Forest Lake,27163070103,0,NULL,22.2224
Coon Rapids,27003050710,0,NULL,24.3934
Eagan,27037060729,0,NULL,24.8074
Minneapolis,27053102500,1,0.146,25.9756
Minneapolis,27053110100,0,0,24.9112
Bloomington,27053025301,0,NULL,23.0294
Andover,27003050219,0,NULL,22.6392
Ravenna Township,27037061401,1,NULL,21.7658
New Brighton,27123041105,0,NULL,22.787
St. Paul,27123037100,1,0.329,24.8938
St. Paul,27123037500,0,0.054,25.4274
Andover,27003050220,0,NULL,22.9122
St. Paul,27123036700,0,0.56,24.369
Bloomington,27053025702,0,NULL,24.3588
Minnetonka,27053026205,0,NULL,23.5466
St. Anthony,27123041103,0,NULL,23.9518
Ham Lake,27003050234,0,NULL,23.2984
Little Canada,27123042102,0,NULL,23.6592
Edina,27053023600,0,NULL,22.7736
Richfield,27053024200,0,NULL,26.4658
Minneapolis,27053008100,0,0,24.7136
Circle Pines,27003050902,0,NULL,23.895
Anoka,27003050402,0,NULL,24.3172
Andover,27003050208,0,NULL,23.9096
Minneapolis,27053111200,0,0,25.0766
Jordan,27139080800,0,NULL,21.9282
Minneapolis,27053110200,0,0,24.9428
Lakeville,27037060819,0,NULL,23.8978
Minneapolis,27053109000,0,0,23.7878
Minneapolis,27053101300,1,0,25.5442
Minneapolis,27053011000,0,0,24.1846
Eden Prairie,27053026014,0,NULL,25.2652
Minneapolis,27053000102,1,0.733,24.476
Minneapolis,27053106600,0,0,23.6114
Minneapolis,27053107000,1,0,26.1256
St. Paul,27123035200,0,0.124,23.4708
Richfield,27053024801,1,NULL,24.4672
Shoreview,27123040704,0,NULL,23.1058
Richfield,27053024700,0,NULL,24.8344
Columbia Heights,27003051304,1,NULL,24.8982
New Hope,27053021505,0,NULL,24.6902
Bayport,27163070801,0,NULL,26.093
Shakopee,27139080301,0,NULL,24.7942
Minneapolis,27053009500,1,0,26.3706
Minneapolis,27053109200,0,0,25.0098
Independence,27053027002,0,NULL,22.2248
Minneapolis,27053011998,0,0,23.8824
Robbinsdale,27053021300,0,NULL,25.8678
